S.No.,Idioms,Hindi Meaning,English Meaning,
46.,Be in the driving seat,Lkkjh ftEesnkjh dk Hkkj mBkuk,Bearing all responsibilities,
47.,Bear the brunt (le?kkr) of,Ifj.kke Hkqxruk] okilh dk dksbZ jkLrk u NksM+uk,To bear the main part of something unpleasant,
48.,Beat about the bush,?kqek&fQjk dj ckrs djuk,To talk in a roundabout,
66.,Blow one’s own trumpet,vius eq¡g fe;k¡ feV~~Bw,To praise oneself,
67.,Blue blood,’kkgh O;fDr,Royal or aristocratic descent,
68.,Blue book,Lkjdkjh fjiksZV,Government report,
69.,Body and soul,Iwk.kZr;k,Entirely,
70.,Bolt from the blue,vkdfLed foifRr,Unexpected problem,
71.,Bone of contention,>xM+s dh oLrq @dkj.k,Subject of a dispute,
72.,Boon/blessing in disguise,fNik gqvk ojnku,Hidden blessing,
73.,Bosom friend,ftxjh nksLr,Fast friend,
74.,Break the ice,pqIih rksM+uk,Break the silence/to start a conversation,
75.,Breathe one’s last,Ekj tkuk,To pass way/ to die,
76.,Broad day light,fnu&ngkM+s,"In day light (when crime cannot be
hidden)",
77.,Broken reed (ujdV] ck¡lqjh),vfo’oklh O;fDr,"A weak, unreliable person",
78.,Brown study,fopkjeXurk,A state of deep thought,
79.,Bull in the china shop,tks txg ds vuqdwy u gks,One who is out of place in a dedicated situation,
80.,Burn a hole in the pocket,’kh?kzrk ls [kpZ djuk,Money spend quickly,
81.,Burn one’s finger,[kqn dk uqdlku dj cSBuk,To get oneself into trouble,
82.,Burn the candle at both ends,nsj jkr vkSj lqcg tYnh esgur djuk,To  work  very  hard  and  stay  very  late  at night and get up early in the morning,
83.,Burn one’s boats,QSlyk cnyuk,Go back on a decision,
84.,Burn the midnight oil,nsj jkr rd esgur djuk,Laboring/studying late night,
85.,Burning question,"dksbZ [kkl fc""k;","An important topic, hot issue",
86.,Bury the hatchet (dqYgkM+h),nq’euh [kRe djuk,To end enmity/hostility,
87.,By fits (mfpr) and starts,vfu;fer :Ik ls,Irregularly/sporadic,
88.,"By hook (eksM+uk)  or by crook
(/kks[ksckt)",fdlh Hkh gkyr esa,"By any means, right or wrong",
89.,"By leaps (mNyuk) and bounds
(lhek)",fnu nqxuh vkSj jkr pkSxuh,At a rapid pace,
90.,"By the skins of one’s teeth/ by a
whisker",FkksM+s ls varjky ls,Narrowly/ by a hair breadth,
91.,By long adds,dkQh varj ls,By a great difference,
92.,Bricks and mortar ([kYy] elkyk),Hkou,Buildings,
93.,Blow hot and cold,"i{k ,oa foIk{k",Support and oppose,
94.,Bring home,le>kuk,To convince,
95.,Bite one’s lips,vius xqLls dks dkcw djuk,Control one’s anger,
96.,Beat black and blue,,To punish severely,
100.,By and large,ekSVs rkSj ij,"On the whole, speaking generally",
101.,Blow hot and cold,dHkh leFkZu djuk dHkh fojks/k djuk,To be irresolute,
102.,To be on one’s mind,fdlh ckr dks ysdj fpafrr gksuk,To worry about something,
106.,To  blow  one’s  stack  top  or  blow a fuse/gasket,vkik [kksuk,"Lose one’s temper, become extremely angry",
107.,To beat a hasty retreat,nwj Hkkx tkuk] ihNs gVuk,go away hurriedly,
108.,Carry the coal to new castle,csotg esgur djuk,Spending    time    and    energy    in    doing something that is useless and wastage  of energy,
112.,Catch the tarter,etcwr ’k=q ls >xM+uk,To grapple with an unexpectedly/ to catch a dangerous person,
113.,Cat’s paw (iatk ekjuk] iatk),"futh LokFkZ dh iwfrZ esa ftl O;fDr dk iz;ksx fd;k tk,",A person used by another as a dupe or tool,
114.,Chew (pckuk)  the cud (tqxkyh),Ekuu djuk,To ponder over/meditate,
118.,Cross swords,yM+uk,To quarrel or fight,
119.,Cry for the moon,fdlh vlaHko oLrq dh dkeuk djuk,To desire the unattainable,
120.,Cry over spilled milk,O;FkZ iNrkuk,Regret in vain for what cannot be undone,
124.,Creature comforts,foykflrk,Luxuries,
125.,Curry favour,Ny ls enn ikuk,to seek to win favour by gifts or flattery,
126.,Cheek   (xqLrk[kh]   tcMk)      by   jowl (xky),"?kfu""V",very close- intimate,
127.,Catch a straw,enn ikuk,to accept help and support even from the insignificant,
128.,Cry wolf,csotg gYyk djuk] xyr lwpuk nsuk,go give false alarm,
129.,Call a spade a spade (gqDe dk iRrk),"Li""V ckr dguk] Li""V oDrO;","Resist from making controversial statement, be out spoken in language",
130.,Cut both end,csbZekuh djuk,Behave dishonestly,
131.,Cut the Gordian knot,fdlh dfBu leL;k dk lek/kku,To short out the problem,
132.,Clear the decks,dfBukbZ;ksa dks nwj djuk,To remove obstructions,
133.,Crust (Åijh lrg) fallen,grksRlkfgr gksuk,To be dejected,
134.,Cool head,’kkar ioz `fr dk gksuk,To have a nature of not easily being excited,
135.,Come a cropper,iwjh rjg vlQy gksuk,To fail completely,
136.,Come back to earth,vkSdkr ij vkuk,Return to reality,
137.,Call in question,lansg gksuk,"To doubt, find fault with",
138.,Cut a sorry figure,vǔNk izHkko uk NksMuk,Not to leave a good impression,
142.,Dead letter,dkuwu] tks dHkh ykxw Fkk ysfdu vc ykxw ugha gS,"A law or ordinance that is no longer
enforced",
143.,Damocles’ (njckjh) sword,flj ij eaMjkrk [krjk,Constant threat,
144.,Die a dog’s death,yTtktud ekSr ejuk,To die a shameful death,
145.,Die in harness (tksruk] dop),vius dk;kZof/k ds nkSjku gh e`R;q gksuk,Die while in service,
146.,"Dog in the manger (tkuojksa ds [kkuk
[kkus dh uk¡n)",Tkks nwljks dks ml lq[k dk Hkksx djus ugh nsrk tks mlds fdlh dke dk ugha,A person who prevents others from enjoying what he cannot,
147.,Donkey’s years,dkQh le; ckn,A long time,
151.,Eagle eyed,rst utj vkuk,With keen eye sight,
152.,Eat humble pie,’kfeZUnxh >syuk,To apologize,
153.,Eat one’s words,’kCn okil ysuk,Take the statement back,
154.,Eat one’s heart out,fpafrr gksdj [kqn lguk,Suffer silently,
155.,Elbow room,dke djus dh LorU=rk,Sufficient scope to move or function,
156.,End in smoke,dksbZ ifj.kke u fudyuk,Come to nothing,
160.,Eke (c<+kuk) out,vkenuh c<+kuk] fuokZg djuk,Supplement income,
161.,Fabian policy,Lkko/kkuhiw.kZ eUnxfr uhfr,Deliberate slow policy/policy of delaying decisions,
162.,Fair and square,"fu""i{k",In an honest way,
163.,Fair sex,ukjh tkfr,Women,
164.,Fair weather friend,Eqklhcr esa lkFk u nsus okyk fe=,Selfish friend who are with us only in comfortable situations.,
165.,Fancy price,EqkWgekaxh dher,At any cost/at demanded prices,
169.,Fish in trouble waters,"fo""ke ifjfLFkfr dk ykHk mBkuk",To take advantages of the problems of others,
170.,Fish out of water,"d""Vizn voLFkk esa",Out of one’s usual and uncomfortable place,
171.,Fly in the ointment (ejge),vlqfo/kk,A light unpleasant thing that obstruct the enjoyment of something,
172.,Fool’s paradise (vkuan] LoxZ),>qBh mEehn esas [kq’k gksuk,A state of being happy for foolish or unfounded reasons,
173.,Forty winks (fVefVekuk] vk¡[k >iduk),>idh,A nap,
174.,French leave,fcuk lwpuk ds vuqifLFkr gksuk,A leave without information or permission,
175.,Fringe (fdukjk) benefits,osru ds vykok feyus okyk ykHk,An additional benefit apart from salary,
176.,From hand to mouth,flQZ xqtkjk Hkj,Providing only bare essential,
177.,Flesh and blood,ekuo izo`fr,A human being with his natural limitation,
178.,Gala (lekjksg] izfr;ksfxrk) day,vkuanksRlo dk fnu,Celebration day,
179.,Get away with,Ckp fudyuk,To escape,
180.,Get down to,dke xaHkhjrkiwoZd vkjaHk djuk,To attend to work seriously,
181.,Get into a soup,>a>V esa iM+uk,Get into a trouble,
182.,Get into hot water,leL;k esa Q¡luk,Get into a trouble,
183.,Get off scot free,vnf.Mr fudy tkuk,To escape without punishment,
184.,Get on one’s nerves,Rakx djuk,To irritate or annoy,
185.,Get the wind of,fdlh Hksn dks tku ysuk,To know the secrets,
186.,Go the whole hog,iw.kZ :i ls,"Do something fully, completely",
190.,Give me a hand,enn ysuk,To take help,
191.,Gain ground,izfl) gksuk,Become popular,
192.,Gribble- gabble,"Ewk[kZrkiw.kZ okrkZyki] tYnh&2 vkSj vLi""V
cksyuk",Foolish talk,
193.,Gift of the gab,prqjkbZ iwoZd /kkjk izokg,To talk well/ talent of speaking,
194.,Give a piece of mind,Mk¡Vuk,To rebuke scold,
195.,Go through fire and water,dksbZ Hkh [krjk eksy ysuk,To brave any danger,
196.,Go to dogs,O;FkZ gksuk,To deteriorate/degenerate,
197.,Go to rack and ruin,fouk’k gksuk,To decay or get destroyed,
198.,Good Samaritan (usd vkneh),n;kyw O;fDr,A person who helps and pays sympathy to those in distress,
202.,"Grist (ihlus ds fy, vukt) to one’s
mill",Qk;nsean,Something that can be used for one’s advantages,
203.,Halcyons days,[kq’kxokj fnu,Peaceful days,
204.,Hammer and sickle,Lkektokn dk izrhd,A symbolic representation of communism in general,
205.,Hand and glove with,vǔNs lg;ksx ls,In close co-operation,
206.,Hang by a thread,Ckgqr uktqd fLFkfr esa gksuk,Be in a risky situation,
207.,Hard nut to crack,tfVy leL;k@O;fDr,A difficult problem to solve/a  person difficult to understand,
208.,"Haul (cyiwoZd [khapuk)  over the
coals",dksluk] HkRlZuk djuk,"To take to task, to reprimand",
209.,Have finger in the  pie (f[kpM+h),fdlh dk;Z esa ’kkfey jguk,To be involved in something,
210.,Have one’s hand full,dke dh deh ugh gksuk,To be completely occupied,
214.,Herculean (cy’kkyh) task,Ckgqr dfBu dk;Z,Task requiring tremendous effort,
215.,High and dry,vdsyk,In a deprived situation (alone),
216.,High hand,fujadq’k,Overbearing,
217.,High living,",s’k vkjke dh ftUnxh",Living with comfort and ease,
218.,Hit below the belt,Xkyr rjhds ls izgkj djuk,To strike unfairly,
219.,Hit the jackpot ([ksy esa nkWo),cM+h dke;kch feyuk,Gaining a big/great success (specially by luck),
220.,Hit the nail on the head,Lkgh le; ij lgh ckr@dk;Z djuk,To do the right thing at the right time,
221.,Hobson’s choice,dksbZ fodYi u gksuk,No alternatives,
222.,Hole and corner policy,xqIr uhfr,Secret policy,
223.,Hold no water,lgh ugh gksuk,Not correct or true,
224.,Hue (jax] er) and cry,gks&gYyk,Any loud public outcry,
225.,Hush ([kkeks’kh) money,"fdlh ckr dks xqIr j[kus ds fy, fn;k tkus okys iSlk",Money given to someone to keep something secret,
226.,In a fix,eqlhcr esa gksuk,In difficulty,
227.,In no time,’kh?kz gh,Very quickly indeed,
228.,In a fog,nq:g,"Confused, not able to understand",
229.,"In a nutshell (v[kjksV vkfn dk
fNydk)",Lak{ksi esa,In very brief form,
230.,In black and white,fyf[kr esa,In printed or written form,
231.,In full swing,iwjs tksjks ij,At the height of activity,
232.,In the blues,nq%[k@larki esa,In dumps depressed,
233.,In the long run,vUrr%,Ultimately,
234.,"In the nick (fxjQrkj djuk) of the
time",Bhd le; ij,At the last possible moment,
235.,In the same boat,",d gh gkykr esa",Sharing the same problems,
236.,In vogue (izpyu] yksdfiz;rk),Ikzpfyr,In the current fashions,
240.,Itsy bitsy,vR;ar NksVk lk,Very small or tiny,
241.,"Jack (xqyke] ;a=) of all trades and
master of none",Tkks vkneh fdlh Hkh dke fuiq.k u gks]ysfdu lHkh dk;ksZ dh tkudkjh j[krk gks,A person who knows many different kinds of work but is a master of none,
242.,Jail word,Tkks tsy esa gks ;k igys jg pqdk gks,A person who is or has been confined in jail,
243.,Jaundice (fod`r] fopkj)  eye,"Ik{kikr iw.kZ n`f""Vdks.k",To look at a conclusion prematurely,
244.,Kangaroo’s court,xSj &dkuwuh U;k;ky;,An illegal court,
245.,Keep one’s cards close to one’s chest,fdlh ckr dks fNikuk,Hiding something,
246.,Keep one’s finger crosses,fdlh vǔNh ?kVuk ds gksus dh dkeuk djuk,To wait expectantly,
247.,Keep one’s word,izrhKk iwjh djuk,To keep one’s promises,
248.,Keep the ball rolling,Tkkjh j[kuk,To maintain the progress of a project or plan,
249.,Keep the wolf from the door,"nfjnzrk   ls la?k""kZ djuk",To avert poverty/starvation,
250.,Kill two birds with one stone,",d dk;Z djds nks leL;ksa ls fuiV ysuk",Doing two things at the same time while effort is made for one,
251.,Kith and kin,cU/kq& ckU/ko,Blood relation/Nepotism,
255.,Left-handed complement,iz’kalk ds :Ik esa vieku,An insult disguise as a compliment,
256.,Lion’s share,Lkcls cM+k fgLlk,Large part,
257.,Live in an ivory tower,"lEiUurk esa thuk ,o vke yksxks ds nq%[k ls [kqn dks nwj j[kuk",Living in comfort and being unaware of realities of other’s miseries,
258.,Loaves and fishes,O;fDrxr ykHk,Material benefit.,
259.,Look of colours,vLoLFk fn[kkbZ nsuk,Look ill or unhealthy.,
260.,Look through coloured glasses,>wBs vkoj.k ls ns[kuk,To see with different,
261.,Lump in the throat,Xkyk Hkj tkuk ¼HkkoukRed {k.k es½,A tight or uncomfortable feeling in throat due to emotions,
262.,Mad as a march hare,fljfQjk,Crazy and insane,
263.,Make a clean breast of,dksbZ dke tks vkids }kjk fd;k ;k u fd;k x;k gks dks Lohdkjuk,To tell the truth about something especially something bad or illegal you have done or you do not.,
264.,Maiden name,fookfgrk L=h dk fookg ls iwoZ dk uke,A woman’s surname before marriage,
265.,Maiden speech,"izFke lkoZtfud Hkk""k.k",First speech,
266.,Make a hash,xM+cM+ dj nsuk,To mess up,
267.,Make a mountain out of a mole hill,Ckkr dk craxM+ cukuk,To exaggerate a minor difficulty,
268.,Make both ends meet,vk; ds vanj gh xqtkjk djuk,To live within one’s means,
269.,Make hay while the sun shines,ekSds dk ykHk mBkuk,To take the benefit of an opportunity,
270.,Make or mar,Ckukuk ;k fcxkM+uk,To make or destroy,
271.,Make the best of both the worlds,nksuks gkFk esa yM~Mw,Getting benefited from both the sides,
272.,Make up one’s mind,fu'p; djuk,To decide,
273.,Man of means,Lke`) O;fDr,A wealthy man,
274.,Man of iron,n`<+ bǔNk ’kfDr okyk,Man with strong will-power,
275.,Man of letter,fo}ku vkneh,Learned person,
276.,Man of parts,lq;ksX; O;fDr,A man of qualities,
277.,Man of spirit,mRlkfgr O;fDr,A man full of enthusiasm,
278.,Man of straw,og O;fDr ftldk dksbZ er u gks,A weak person or idea that is easy to defeat,
279.,Man of the world,vuqHkoh O;fDr,An experienced person,
280.,Man of word,tqcku dk lǔpk,True to one’s word or promises,
281.,A man of God,iqtkjh,A male priest,
282.,A match made in heaven,[kq’kh nsus okyh ’kknh ;k lkFkh,A happy and harmonious marriage or partnership,
283.,Mare’s nest,>wBh vQokg,A false invention/ rumour,
287.,Miss the beat,volj [kksuk,To lose an opportunity,
288.,Mother wit,vke tkudkjh,Common sense,
289.,Move heaven and earth,"vkdk’k&ikrky ,d djuk",To try one’s best,
290.,To make one’s mark,viuk xgjk izHkko NksM+uk,"Become famous, well known",
291.,Milk of human kindness,ekuork ls Hkjk ân;,Good feelings towards others,
292.,Made of money,cgqr /kuh,Very wealthy,
293.,Man of/in the street,lk/kkj.k O;fä,"Ordinary, average person",
294.,Make head or tail,le>uk,Understand,
295.,Meet one’s waterloo,vafre ijkt;,"Make one feel terrified, horrified",
296.,Much cry and little wool,jkbZ dk igkM cukuk,Lots of fanfare for something which have very little importance,
297.,Narrow escape/close shave,cky&cky cpuk,To escape by a little margin,
298.,Nig-nag,"tks         yxkrkj         ijs’kku         djs
¼african/American                     fy,
uLy&lqpd ’kCn½",A noun used to address someone (with jock and furnace),
299.,Nine day’s wonder,de le; dk lq[k,"Something that arouses great interest but
for a very short period",
300.,Null and void,csdkj,Ineffective,
301.,Nurse and grudge,’k=qrk Hkko dk;e j[kuk,Bear resentment for long period,
302.,Oily tongue,"[kq’ken dh Hkk""kk",Flattering words,
303.,On one’s guard,lko/kku@lpsr jguk,"Vigilant, careful",
304.,On one’s last legs,[kRe gksus dh fLFkfr esa gksuk,Close to collapsing,
305.,Once for all,"ges’kk ds fy, ¼dke [kRe djuk½",For the last time/conclusively,
306.,Out of sorts,vLoLFk gksuk,"Unwell, slightly ill",
307.,Once in a blue moon,dHkh dHkkj,Very seldom,
308.,Open question,"loky ftldk ,d ls vf/kd mRrj gks ldrk gks",A question which may have more than one answer,
309.,Palmy days,vǔNs o ’kkafriw.kZ fnu,Prosperous/affluent days,
310.,Pandora’s box,leL;kvksa dk HkaMkj,A source of extensive but unforeseen troubles,
311.,Part and parcel,vko’;d vax,Inseparable part,
312.,Past master,"fo’ks""kK",An expert,
313.,Pay the piper,[kpZ ogu djuk,To bear the cost of something/some,
318.,Play second fiddle,fupyk LFkku Lohdkjuk,To be at a subordinate position,
319.,Play truant,fcuk btktr dke ls xk;c jguk,To be absent from duty without permission,
320.,Poison someone ears,dku Hkjuk,To speak against one to another,
321.,Poke one’s nose,VaWkx vMkuk,To interfere,
322.,Pour oil on troubled water,dzks/k ’kakr djuk,To pacify the matters,
323.,Pros and cons,ykHk&gkfu dk vk¡dyuk djuk,To evaluate the advantages and disadvantages,
324.,Pull one’s legs,etkd mMkuk,To make fun of or to tease,
325.,Pull the wool over somebody’s eyes,/kks[kk nsuk,To mislead/Cheat,
326.,Put a spoke in one’s wheel,rax djuk@ck/kk mRiUu djuk,"To obstruct, thwarft the execution of the plan, to stop someone’s plan",
327.,Put in cold storage,dke dks yafcr dj nsuk,To keep a work pending,
328.,Put one’s foot down,vius izkf/kdkj dks yafcr djuk,To act firmly,
329.,Put one’s shoulders to the wheel,Lo;a vius iz;klksa ls fdlh dke dks djuk,To work or exert oneself heavily,
330.,Put the cart before the horse,dksbZ dke mYVs fljs ls djuk,To do things wrongly,
331.,Put the cat among pigeons,ckr ls dkQh yksxksa dk xqLlk HkMdk nsuk,To say/do something that causes trouble or make many very angry,
332.,Quarrel with one’s bread and butter,"tgkW ls jksth@jksVh feyrh ogkW ds cfj""B vf/kdkjh ls yMuk","To fight with the executive or employer, who is providing one’s means of living",
333.,Queer fish,vthc O;fDr,Strange person,
334.,Rain cats and dogs,rst ckfj’k gksuk,Rain very heavily,
335.,Rainy day,"vkfFkZd d""V ds fnu","Future time of need, especially financial need",
336.,Read between the lines,eryc tkuuk,To understand the hidden meaning,
337.,Red handed,vijk/k djrs le; idM+k tkuk,Exactly while committing a crime or doing something wrong,
338.,Red letter day,lkSHkkX; dk vR;ar egRoiw.kZ fnu,A memorably important or happy occasion,
339.,Red tapism,yky Qhrk’kkgh,Strict adherence to excessive paper work and official formalities,
340.,Rest on one’s laurels,Hkwrdky ds miyfC/k,Depending on the achievement made in the past,
341.,Rhyme or reason,fdlh Hkh dkj.k ls,"Sense, logic or meaning",
342.,Right hand man,eq[; lgk;d O;fDr,One’s most supporter person,
343.,Rock the boat,larqyu fcxkMuk,To disturb a situation which was otherwise stable,
344.,Rolling stone,tks fLFkjrk ds lkFk dk;Z ugha djrk,A restless person,
345.,Royal road,vklku jkLrk,An easy or direct way of achieving a desired result,
346.,Rule the roost,jksc tekuk,To dominate,
347.,Run amuck,lud lokj gksuk,Made with murderous frenzy,
348.,run of the mill,lkekU;,Average/common,
349.,Run the gauntlet,cqjs vuqHko ls xqtjuk,To go through an unpleasant experience,
350.,Root and branch,iw.kZr;k,completely,
351.,Sail under false colours,/kks[kk nsuk,To pretend to be something that you are not,
352.,Save one’s skin,Lo;a dks cpkuk,To save oneself,
353.,See eye to eye,iq.kZr% lger gksuk,Showing agreement/to agree,
354.,See pink elephant,vR;f/kd u’sk ds dkj.k mu phtksa dks ns[kuk tks okLro esa u gks,Any  visual  hallucination   arising  due  to intoxication,
364.,Sine die,"vfuf’pr dky ds fy,",Indefinitely,
365.,Sit on the fence,fdlh dk i{k u ysuk,Refuse to take side in a dispute,
367.,Slow coach,vkylh O;fDr,A person with lazy approach of working,
368.,Small fry,xSj egROkiw.kZ O;fDr,Insignificant person,
369.,Smell a rat,xyr gksuk eglwl gksuk,To suspect something wrong done,
370.,Smooth sailing,ijs’kkuh ds fcuk,Easy progress,
371.,Snake in the grass,vkLrhu dk lakWi,A secret enemy,
372.,Shake in the shoes,Mj ls dkWiuk,A tremble with fear or apprehension,
373.,Show the dragon’s teeth,"Hkfo""; ds fy, ijs’kkuh djuk",To create future trouble for yourself or others,
374.,Speak one’s mind,eu dh ckr djuk,Speak what one really thinks,
375.,Spick and span,lkQ lqFkjk,In order/neat and clean,
376.,Stand on one’s legs,vkRe fuHkZj gksuk,To be self dependent,
377.,Stand/stick to one’s guns,vVy jguk,To be strict and determined,
378.,State somebody in good stead,ykHknk;d gksuk,To be of great use and benefit to someone,
379.,Steal a march,pqids ls ykHk izkIr dj ysuk,To obtain an advantage by secret means,
380.,Step into another’s shoes,fdlh nwljs dh txg ys ysuk,To take over a job/responsibility of some other person,
381.,Stiff-necked person,<+hV,Stubborn or arrogant,
382.,Stir a finger,dksf’k’k djuk,Making effort,
383.,Stone’s throw,cgqr utnhd,Very near,
384.,Street Arabs,cs?kj o vukFk,A homeless person (especially who survive by begging),
385.,Sum and substance,lkjka’k,Main idea or gist,
386.,Swan song,"ejus@lsokfuo`fr ds igys dh fcnkbZ laxhr
;k lekjksg",The last ceremony or farewell,
387.,Sweat of one’s brow,dMh esgur,Hard labour,
388.,Swelled head,?keaMh,Grand opinion of oneself/conceited,
389.,Sworn enemy,dV~Vj nq’eu,People enemies,
390.,Sang froid,vkRe la;eh,composure,
391.,Spilling the beans,fcuk lksps tkudkjh nsuk,Reveal the information indiscreetly,
392.,Set the record straight,lgh djuk,Give a correct account,
393.,Safe and sound,fcydqy Bhd,Quite well,
394.,Snake in the shoes,M+j dh voLFkk esa gksuk,To be in a state of fear,
395.,Snake in the grass,vkLrhu dk lk¡i,A hidden army,
396.,Salad days,fd’kksjkoLFkk] vǔNs fnu,Adolescence,
397.,Shake a leg,tYnh&tYnh pyuk,"To go fast, hurry",
398.,Spread like wild fire,tYnh QSyuk,Spread quickly,
399.,Take away one’s breath,HkkSpDdk dj nsuk,Take by storm,
400.,Take by storm,vpkud izHkkfor djuk,To surprise unexpectedly,
401.,Take into account,ij fopkj djuk,To consider,
402.,Take one at one’s word,fdlh   ds dgus ij fo’okl djuk,To be convinced of one’s sincerity and act in accordance with his/her statement,
403.,Take the bull by the horns,ladV dk lh/kk o [krjukd rjhds ls lkeuk djuk,To adopt the most direct but the most dangerous way of facing a difficulty,
404.,Take to one’s heels,Hkkx tkuk,To run away,
405.,Talk big,Mhaxs ekjuk,To boast or brag,
406.,Talk of the town,pfpZr ckr,To be the person or subject everyone is,
407.,The printer’s devils,NikbZ =qfV,Error in printing,
408.,Think twice,lksp@le> dj fu.kZ; ysuk,To consider carefully before deciding,
412.,Tooth and nail,iwjh rkdr ls,To violently,
413.,True to one’s salt,oQknkj@ued gyky,Loyal person,
414.,Turn a deaf ear to,vulquk djuk,Not to pay attention to,
418.,Throw out of gear,dke esa ck/kk M+kyuk,Disturb the work,
419.,Take to one’s heels,Hkkx tkuk,Run away,
420.,To go the whole hog,[kRe djuk,To do complete,
421.,Time and tide,le; pdz,Course of time,
422.,The long and short of,la{ksi esa,In brief,
423.,To crow over,fdlh ij xoZ djuk,To triumph over someone,
424.,To blow a fuse,fdlh dks ukjkt djuk,To turn someone angry,
425.,Take your medicine,xyr dkeksa dk ifj.kke lguk,To accept the consequences of something you have done wrong,
426.,To leave  someone in the lurch,fdlh dks ijs”kkuh esa NksM+ nsuk,To desert someone in his difficulties,
427.,To join forces,",d gksuk","Join together, become united",
428.,To kick of a row,fookn mBkuk,Raise dispute,
429.,To laugh in or up one’s sleeves,eq¡g fNikdj galuk,Be secretly amused,
430.,Turn a blind eye,vuns[kk djuk,To ignore intentionally,
431.,Take one to task,QVdkjuk,"Rebuke, scold, castigate",
432.,Turn a deaf ear,vulquh djuk,Disregard / ignore what one says,
433.,Turn up one’s nose at,uhpk le>uk,To take lightly with contempt,
434.,Under the nose of,vkW[kksa ds lkeus] ukd ds uhps,Right in front of someone,
435.,Under the thumb of,ds o’k esa gksuk,Under the power influence of,
436.,Up and doing,dke esa lfdz; :i ls yxuk,Active in work,
437.,Up one’s sleeves,fNik ds j[kh xbZ oLrw ftldk iz;ksx t:jr iM+us ij djsa,An item  kept hidden and used whenever required,
438.,Uphill task,cgqr dfBu dk;Z,Difficult task,
439.,Upon one’s sweet will,LosǔNk ls,Oneself desire or wish,
440.,Ups and downs,mrkj&p<+ko,God and bad times,
441.,Utopian scheme,vkn’kZ fdUrw dk;kZfUor u gksus okyh ;kstuk,A visionary scheme though impractical,
442.,Weather the storm,"leL;k ls eqdkcyk dj lqjf{kr ckgj
fudyuk",Survive by coming out of difficulties,
443.,Well-to-do,lEHkzkar,Affluent,
